delivery_id,distance_km,package_weight_kg,vehicle_type,traffic_level,weather_condition,driver_experience_years,delivery_hour,delivery_time_minutes,delay_status,delayed,is_peak_hour,heavy_package,distance_category,driver_experience_level
DLV58,7.0,6,Van,Medium,Stormy,1,18,86.5,1,0,1,0,Medium,Beginner
DLV59,21.0,2,Bike,Low,Foggy,8,15,67.0,0,0,0,0,Long,Experienced
DLV60,9.0,13,Truck,Low,Clear,9,10,36.5,0,0,0,0,Medium,Experienced
DLV61,7.0,11,Bike,Medium,Stormy,10,11,64.0,0,0,0,0,Medium,Experienced
DLV62,18.0,11,Bike,Medium,Clear,6,9,64.0,0,0,1,0,Medium,Experienced
DLV63,4.0,16,Van,Low,Foggy,6,7,55.0,0,0,1,0,Short,Experienced
DLV64,25.0,11,Truck,Medium,Stormy,5,21,107.5,1,1,0,0,Long,Intermediate
DLV65,28.0,19,Bike,Medium,Foggy,2,10,115.0,1,1,0,0,Long,Intermediate
DLV66,14.0,15,Bike,Medium,Foggy,5,9,73.5,1,0,1,0,Medium,Intermediate
DLV67,18.0,16,Truck,High,Clear,7,18,93.5,1,1,1,0,Medium,Experienced
DLV68,26.0,11,Bike,Low,Stormy,7,7,105.5,1,1,1,0,Long,Experienced
DLV69,9.0,16,Bike,High,Foggy,10,18,87.0,1,0,1,0,Medium,Experienced
DLV70,26.0,8,Truck,Medium,Stormy,8,16,117.0,1,1,1,0,Long,Experienced
DLV71,21.0,4,Truck,High,Clear,0,9,91.0,1,1,1,0,Long,Beginner
DLV72,2.0,8,Truck,Medium,Foggy,0,20,48.0,0,0,0,0,Short,Beginner
DLV73,20.0,4,Truck,High,Clear,2,9,76.0,1,0,1,0,Medium,Intermediate
DLV74,28.0,3,Van,Medium,Stormy,2,14,110.0,1,1,0,0,Long,Intermediate
DLV75,15.0,3,Truck,High,Stormy,9,12,79.5,1,0,0,0,Medium,Experienced
DLV76,28.0,18,Van,High,Clear,7,11,105.5,1,1,0,0,Long,Experienced
DLV77,7.0,19,Van,High,Rainy,9,11,65.5,0,0,0,0,Medium,Experienced
DLV78,12.0,19,Van,Low,Foggy,0,20,77.0,1,0,0,0,Medium,Beginner
DLV79,29.0,5,Bike,High,Stormy,1,20,125.5,1,1,0,0,Long,Beginner
DLV80,8.0,18,Van,Low,Stormy,1,14,70.5,1,0,0,0,Medium,Beginner
DLV81,15.0,10,Van,Medium,Foggy,2,9,79.0,1,0,1,0,Medium,Intermediate
DLV82,3.0,6,Bike,High,Clear,5,10,40.5,0,0,0,0,Short,Intermediate
DLV83,14.0,1,Bike,Medium,Clear,0,16,73.0,1,0,1,0,Medium,Beginner
DLV84,17.0,5,Bike,Medium,Clear,1,10,65.5,0,0,0,0,Medium,Beginner
DLV85,4.0,9,Truck,High,Rainy,0,9,68.0,0,0,1,0,Short,Beginner
DLV86,18.0,12,Bike,Low,Rainy,4,17,83.0,1,0,1,0,Medium,Intermediate
DLV87,8.0,14,Bike,High,Stormy,6,7,96.0,1,1,1,0,Medium,Experienced
DLV88,4.0,2,Van,Medium,Clear,7,18,35.5,0,0,1,0,Short,Experienced
DLV89,2.0,17,Bike,Medium,Foggy,9,15,45.5,0,0,0,0,Short,Experienced
DLV90,30.0,14,Truck,High,Stormy,0,14,137.0,1,1,0,0,Long,Beginner
DLV91,6.0,13,Bike,Low,Foggy,6,15,51.0,0,0,0,0,Medium,Experienced
DLV92,22.0,9,Truck,Low,Stormy,4,12,84.0,1,0,0,0,Long,Intermediate
DLV93,10.0,15,Bike,Medium,Rainy,9,9,57.5,0,0,1,0,Medium,Experienced
DLV94,4.0,15,Bike,Medium,Stormy,0,15,75.0,1,0,0,0,Short,Beginner
DLV95,22.0,11,Bike,Low,Rainy,2,8,88.0,1,0,1,0,Long,Intermediate
DLV96,29.0,16,Bike,High,Stormy,6,7,143.0,1,1,1,0,Long,Experienced
DLV97,18.0,17,Truck,Medium,Clear,9,15,61.5,0,0,0,0,Medium,Experienced
DLV98,26.0,4,Truck,Low,Foggy,0,7,97.0,1,1,1,0,Long,Beginner
DLV99,12.0,1,Van,Medium,Clear,6,7,56.0,0,0,1,0,Medium,Experienced
DLV100,2.0,8,Truck,High,Stormy,4,22,69.0,0,0,0,0,Short,Intermediate
DLV101,10.0,17,Bike,Low,Stormy,0,21,77.0,1,0,0,0,Medium,Beginner
DLV102,30.0,3,Van,Medium,Stormy,0,21,109.0,1,1,0,0,Long,Beginner
DLV103,4.0,20,Van,High,Rainy,0,19,76.0,1,0,0,0,Short,Beginner
DLV104,14.0,15,Van,Medium,Foggy,10,12,73.0,1,0,0,0,Medium,Experienced
DLV105,16.0,15,Bike,High,Foggy,8,16,105.0,1,1,1,0,Medium,Experienced
DLV106,15.0,14,Truck,High,Stormy,10,6,93.0,1,1,0,0,Medium,Experienced
DLV107,8.0,14,Bike,Low,Stormy,2,16,79.0,1,0,1,0,Medium,Intermediate
DLV108,14.0,2,Van,High,Rainy,4,9,76.0,1,0,1,0,Medium,Intermediate
DLV109,23.0,13,Bike,Medium,Clear,10,12,70.0,0,0,0,0,Long,Experienced
DLV110,28.0,14,Bike,High,Clear,9,20,93.5,1,1,0,0,Long,Experienced
DLV111,25.0,19,Truck,High,Foggy,8,17,127.0,1,1,1,0,Long,Experienced
DLV112,30.0,7,Truck,Low,Rainy,5,22,82.5,1,0,0,0,Long,Intermediate
DLV113,8.0,3,Van,High,Stormy,8,6,77.0,1,0,0,0,Medium,Experienced
DLV114,21.0,15,Bike,High,Foggy,7,16,115.5,1,1,1,0,Long,Experienced
DLV115,16.0,14,Bike,Medium,Rainy,7,6,75.5,1,0,0,0,Medium,Experienced
DLV116,13.0,11,Truck,Low,Clear,0,20,51.0,0,0,0,0,Medium,Beginner
DLV117,18.0,15,Bike,Low,Rainy,8,15,65.0,0,0,0,0,Medium,Experienced
DLV118,15.0,13,Bike,Low,Clear,5,12,55.5,0,0,0,0,Medium,Intermediate
DLV119,21.0,18,Bike,High,Rainy,8,7,112.0,1,1,1,0,Long,Experienced
DLV120,24.0,6,Truck,Low,Foggy,2,15,86.0,1,0,0,0,Long,Intermediate
DLV121,26.0,3,Van,High,Clear,2,9,89.0,1,0,1,0,Long,Intermediate
DLV122,25.0,19,Van,High,Foggy,5,17,135.5,1,1,1,0,Long,Intermediate
DLV123,28.0,15,Bike,Medium,Foggy,8,16,113.0,1,1,1,0,Long,Experienced
DLV124,28.0,5,Van,Medium,Clear,6,13,78.0,1,0,0,0,Long,Experienced
DLV125,28.0,10,Truck,Medium,Clear,2,16,102.0,1,1,1,0,Long,Intermediate
DLV126,13.0,7,Truck,Medium,Stormy,2,16,94.0,1,1,1,0,Medium,Intermediate
DLV127,9.0,17,Van,Medium,Stormy,1,18,101.5,1,1,1,0,Medium,Beginner
DLV128,29.0,7,Van,High,Stormy,8,8,130.0,1,1,1,0,Long,Experienced
DLV129,15.0,12,Bike,High,Foggy,2,17,109.0,1,1,1,0,Medium,Intermediate
DLV130,13.0,17,Van,Low,Foggy,10,8,68.0,0,0,1,0,Medium,Experienced
DLV131,1.0,13,Bike,High,Stormy,4,15,78.0,1,0,0,0,Short,Intermediate
DLV132,25.0,20,Bike,High,Foggy,8,22,112.0,1,1,0,0,Long,Experienced
DLV133,7.0,4,Truck,Medium,Foggy,7,7,64.5,0,0,1,0,Medium,Experienced
DLV134,9.0,10,Truck,High,Clear,1,22,65.5,0,0,0,0,Medium,Beginner
DLV135,24.0,3,Truck,Medium,Clear,2,21,76.0,1,0,0,0,Long,Intermediate
DLV136,1.0,9,Truck,Low,Foggy,1,7,59.5,0,0,1,0,Short,Beginner
DLV137,12.0,13,Van,Low,Stormy,7,11,66.5,0,0,0,0,Medium,Experienced
DLV138,8.0,18,Truck,High,Rainy,5,15,78.5,1,0,0,0,Medium,Intermediate
DLV139,24.0,15,Van,Low,Stormy,5,15,99.5,1,1,0,0,Long,Intermediate
DLV140,11.0,4,Truck,High,Rainy,8,13,66.0,0,0,0,0,Medium,Experienced
DLV141,19.0,15,Van,Low,Stormy,7,6,79.5,1,0,0,0,Medium,Experienced
DLV142,17.0,2,Bike,Medium,Clear,3,18,72.5,1,0,1,0,Medium,Intermediate
DLV143,8.0,15,Van,Medium,Foggy,3,14,67.5,0,0,0,0,Medium,Intermediate
DLV144,3.0,8,Van,Medium,Foggy,8,15,46.0,0,0,0,0,Short,Experienced
DLV145,3.0,8,Truck,Medium,Clear,0,20,39.0,0,0,0,0,Short,Beginner
DLV146,1.0,17,Van,High,Rainy,1,10,68.5,0,0,0,0,Short,Beginner
DLV147,27.0,12,Bike,Low,Rainy,1,21,85.5,1,0,0,0,Long,Beginner
DLV148,5.0,19,Bike,High,Rainy,5,18,89.5,1,0,1,0,Short,Intermediate
DLV149,10.0,10,Truck,Medium,Clear,3,16,69.5,0,0,1,0,Medium,Intermediate
DLV150,7.0,9,Bike,High,Rainy,10,14,62.0,0,0,0,0,Medium,Experienced
DLV151,26.0,5,Van,Low,Clear,9,21,53.5,0,0,0,0,Long,Experienced
DLV152,9.0,6,Bike,High,Stormy,2,7,96.0,1,1,1,0,Medium,Intermediate
DLV153,28.0,20,Truck,Low,Stormy,2,7,125.0,1,1,1,0,Long,Intermediate
DLV154,7.0,2,Van,High,Clear,2,17,65.0,0,0,1,0,Medium,Intermediate
DLV155,9.0,13,Truck,Low,Foggy,5,13,48.5,0,0,0,0,Medium,Intermediate
DLV156,8.0,6,Van,Low,Stormy,7,14,52.5,0,0,0,0,Medium,Experienced
DLV157,12.0,5,Bike,Medium,Rainy,10,17,62.0,0,0,1,0,Medium,Experienced
DLV158,2.0,1,Truck,Low,Clear,6,14,15.0,0,0,0,0,Short,Experienced
DLV159,1.0,6,Truck,Medium,Rainy,3,15,34.5,0,0,0,0,Short,Intermediate
DLV160,16.0,6,Van,Medium,Rainy,10,7,77.0,1,0,1,0,Medium,Experienced
DLV161,23.0,16,Truck,Medium,Foggy,3,21,96.5,1,1,0,0,Long,Intermediate
DLV162,23.0,4,Van,High,Rainy,10,12,85.0,1,0,0,0,Long,Experienced
DLV163,30.0,11,Van,High,Foggy,9,7,130.5,1,1,1,0,Long,Experienced
DLV164,24.0,9,Van,High,Stormy,10,6,105.0,1,1,0,0,Long,Experienced
DLV165,5.0,3,Van,High,Clear,10,9,34.0,0,0,1,0,Short,Experienced
DLV166,3.0,19,Bike,Low,Rainy,10,7,49.0,0,0,1,0,Short,Experienced
DLV167,12.0,8,Van,Low,Clear,1,19,42.5,0,0,0,0,Medium,Beginner
DLV168,8.0,5,Truck,High,Rainy,0,7,82.0,1,0,1,0,Medium,Beginner
DLV169,22.0,4,Bike,Low,Clear,8,20,46.0,0,0,0,0,Long,Experienced
DLV170,27.0,6,Truck,Low,Rainy,1,17,102.5,1,1,1,0,Long,Beginner
DLV171,3.0,2,Bike,Medium,Rainy,7,10,28.5,0,0,0,0,Short,Experienced
DLV172,1.0,20,Van,Medium,Rainy,8,12,45.0,0,0,0,0,Short,Experienced
DLV173,3.0,11,Bike,Medium,Rainy,3,15,49.5,0,0,0,0,Short,Intermediate
DLV174,5.0,4,Bike,Medium,Rainy,7,19,35.5,0,0,0,0,Short,Experienced
DLV175,15.0,15,Truck,Low,Rainy,8,19,63.0,0,0,0,0,Medium,Experienced
DLV176,14.0,6,Truck,High,Rainy,9,10,73.5,1,0,0,0,Medium,Experienced
DLV177,3.0,17,Van,Low,Rainy,9,19,37.5,0,0,0,0,Short,Experienced
DLV178,1.0,6,Bike,Low,Rainy,4,7,38.0,0,0,1,0,Short,Intermediate
DLV179,5.0,19,Bike,Low,Clear,6,17,52.0,0,0,1,0,Short,Experienced
DLV180,26.0,2,Bike,Medium,Foggy,9,11,84.5,1,0,0,0,Long,Experienced
DLV181,23.0,15,Van,Medium,Rainy,3,9,96.5,1,1,1,0,Long,Intermediate
DLV182,14.0,11,Van,Medium,Foggy,0,18,93.0,1,1,1,0,Medium,Beginner
DLV183,7.0,8,Van,High,Rainy,2,9,67.0,0,0,1,0,Medium,Intermediate
DLV184,27.0,19,Van,Low,Rainy,4,19,96.0,1,1,0,0,Long,Intermediate
DLV185,9.0,13,Van,High,Clear,2,21,67.0,0,0,0,0,Medium,Intermediate
DLV186,15.0,12,Truck,Medium,Stormy,10,9,75.0,1,0,1,0,Medium,Experienced
DLV187,15.0,5,Bike,High,Stormy,6,6,93.0,1,1,0,0,Medium,Experienced
DLV188,26.0,6,Bike,Low,Clear,8,18,74.0,1,0,1,0,Long,Experienced
DLV189,10.0,4,Bike,Low,Foggy,5,9,50.5,0,0,1,0,Medium,Intermediate
DLV190,28.0,19,Bike,Medium,Stormy,9,11,111.5,1,1,0,0,Long,Experienced
DLV191,13.0,20,Bike,Medium,Clear,0,8,82.0,1,0,1,0,Medium,Beginner
DLV192,19.0,1,Bike,High,Clear,6,18,84.0,1,0,1,0,Medium,Experienced
DLV193,7.0,20,Bike,Medium,Stormy,2,21,81.0,1,0,0,0,Medium,Intermediate
DLV194,17.0,17,Bike,Medium,Foggy,4,10,84.0,1,0,0,0,Medium,Intermediate
DLV195,20.0,12,Truck,Low,Clear,9,9,49.5,0,0,1,0,Medium,Experienced
DLV196,29.0,15,Bike,Medium,Rainy,3,13,104.5,1,1,0,0,Long,Intermediate
DLV197,4.0,1,Truck,Medium,Foggy,9,19,33.5,0,0,0,0,Short,Experienced
DLV198,30.0,14,Van,Low,Foggy,4,12,100.0,1,1,0,0,Long,Intermediate
DLV199,5.0,6,Bike,Low,Stormy,4,19,51.0,0,0,0,0,Short,Intermediate
DLV200,23.0,5,Van,High,Stormy,5,11,109.5,1,1,0,0,Long,Intermediate
DLV201,7.0,11,Van,Medium,Rainy,9,17,64.5,0,0,1,0,Medium,Experienced
DLV202,13.0,4,Van,Low,Clear,9,21,26.5,0,0,0,0,Medium,Experienced
DLV203,15.0,13,Truck,High,Stormy,10,22,97.0,1,1,0,0,Medium,Experienced
DLV204,11.0,11,Van,High,Stormy,5,18,105.5,1,1,1,0,Medium,Intermediate
DLV205,29.0,3,Van,Medium,Foggy,7,19,90.5,1,1,0,0,Long,Experienced
DLV206,4.0,1,Van,Medium,Stormy,7,12,48.5,0,0,0,0,Short,Experienced
DLV207,13.0,6,Bike,High,Stormy,10,19,82.0,1,0,0,0,Medium,Experienced
DLV208,7.0,18,Bike,Low,Stormy,8,20,64.0,0,0,0,0,Medium,Experienced
DLV209,27.0,10,Truck,High,Stormy,7,17,134.5,1,1,1,0,Long,Experienced
DLV210,19.0,5,Truck,Medium,Foggy,10,22,72.0,1,0,0,0,Medium,Experienced
DLV211,22.0,10,Bike,Low,Rainy,1,14,77.5,1,0,0,0,Long,Beginner
DLV212,28.0,12,Truck,Low,Rainy,9,20,74.5,1,0,0,0,Long,Experienced
DLV213,2.0,2,Bike,High,Clear,10,17,43.0,0,0,1,0,Short,Experienced
DLV214,10.0,13,Van,Medium,Stormy,0,7,94.0,1,1,1,0,Medium,Beginner
DLV215,13.0,8,Van,High,Foggy,9,10,75.5,1,0,0,0,Medium,Experienced
DLV216,30.0,2,Truck,High,Clear,1,18,117.5,1,1,1,0,Long,Beginner
DLV217,25.0,20,Bike,High,Clear,1,13,105.5,1,1,0,0,Long,Beginner
DLV218,21.0,1,Bike,Low,Rainy,2,19,69.0,0,0,0,0,Long,Intermediate
DLV219,6.0,5,Truck,Low,Foggy,9,20,35.5,0,0,0,0,Medium,Experienced
DLV220,28.0,9,Bike,Medium,Foggy,6,16,113.0,1,1,1,0,Long,Experienced
DLV221,28.0,17,Van,Medium,Foggy,1,6,110.5,1,1,0,0,Long,Beginner
DLV222,12.0,9,Truck,High,Rainy,0,8,100.0,1,1,1,0,Medium,Beginner
DLV223,12.0,11,Truck,High,Rainy,5,22,77.5,1,0,0,0,Medium,Intermediate
DLV224,20.0,15,Bike,High,Rainy,8,19,92.0,1,1,0,0,Medium,Experienced
DLV225,30.0,6,Truck,Medium,Rainy,2,13,101.0,1,1,0,0,Long,Intermediate
DLV226,30.0,3,Bike,Low,Rainy,5,18,96.5,1,1,1,0,Long,Intermediate
DLV227,11.0,17,Bike,Low,Stormy,2,8,93.0,1,1,1,0,Medium,Intermediate
DLV228,26.0,5,Bike,High,Stormy,0,10,117.0,1,1,0,0,Long,Beginner
DLV229,23.0,12,Bike,High,Foggy,4,14,112.0,1,1,0,0,Long,Intermediate
DLV230,28.0,18,Bike,High,Clear,9,11,96.5,1,1,0,0,Long,Experienced
DLV231,25.0,14,Truck,High,Foggy,10,7,121.0,1,1,1,0,Long,Experienced
DLV232,7.0,11,Van,Medium,Clear,3,18,63.5,0,0,1,0,Medium,Intermediate
DLV233,30.0,9,Van,Low,Rainy,6,10,83.0,1,0,0,0,Long,Experienced
DLV234,1.0,2,Truck,High,Clear,5,13,40.5,0,0,0,0,Short,Intermediate
DLV235,1.0,12,Truck,Medium,Foggy,9,6,45.5,0,0,0,0,Short,Experienced
DLV236,25.0,3,Van,High,Foggy,6,17,118.0,1,1,1,0,Long,Experienced
DLV237,27.0,3,Van,High,Clear,4,16,109.0,1,1,1,0,Long,Intermediate
DLV238,30.0,1,Van,Low,Stormy,3,12,94.5,1,1,0,0,Long,Intermediate
DLV239,25.0,8,Van,High,Rainy,6,20,103.0,1,1,0,0,Long,Experienced
DLV240,20.0,8,Van,Low,Rainy,6,16,83.0,1,0,1,0,Medium,Experienced
DLV241,13.0,11,Bike,Low,Foggy,5,21,63.5,0,0,0,0,Medium,Intermediate
DLV242,9.0,9,Truck,Low,Stormy,7,8,74.5,1,0,1,0,Medium,Experienced
DLV243,3.0,5,Bike,Medium,Clear,3,19,36.5,0,0,0,0,Short,Intermediate
DLV244,7.0,14,Van,Medium,Rainy,9,8,65.5,0,0,1,0,Medium,Experienced
DLV245,6.0,3,Van,Low,Stormy,4,6,45.0,0,0,0,0,Medium,Intermediate
DLV246,8.0,5,Van,High,Rainy,3,20,69.5,0,0,0,0,Medium,Intermediate
DLV247,27.0,5,Bike,Low,Stormy,0,6,97.0,1,1,0,0,Long,Beginner
DLV248,9.0,19,Bike,High,Stormy,7,22,93.5,1,1,0,0,Medium,Experienced
DLV249,30.0,14,Van,Low,Foggy,0,7,120.0,1,1,1,0,Long,Beginner
DLV250,5.0,4,Bike,High,Rainy,4,11,59.0,0,0,0,0,Short,Intermediate
DLV251,1.0,13,Bike,Medium,Clear,5,13,34.5,0,0,0,0,Short,Intermediate
DLV252,19.0,10,Van,High,Foggy,5,21,90.5,1,1,0,0,Medium,Intermediate
DLV253,10.0,18,Bike,Low,Foggy,4,6,61.0,0,0,0,0,Medium,Intermediate
DLV254,12.0,8,Truck,Medium,Clear,2,8,65.0,0,0,1,0,Medium,Intermediate
DLV255,24.0,8,Truck,High,Foggy,4,8,116.0,1,1,1,0,Long,Intermediate
DLV256,15.0,7,Truck,High,Stormy,7,10,86.5,1,0,0,0,Medium,Experienced
DLV257,27.0,8,Truck,High,Stormy,1,17,139.5,1,1,1,0,Long,Beginner
DLV258,22.0,14,Van,High,Rainy,5,17,111.5,1,1,1,0,Long,Intermediate
DLV259,24.0,19,Van,High,Rainy,8,18,118.0,1,1,1,0,Long,Experienced
DLV260,9.0,6,Van,Medium,Clear,7,14,35.5,0,0,0,0,Medium,Experienced
DLV261,20.0,1,Truck,Medium,Rainy,10,12,58.0,0,0,0,0,Medium,Experienced
DLV262,17.0,15,Truck,Medium,Stormy,7,9,84.5,1,0,1,0,Medium,Experienced
DLV263,30.0,1,Bike,Medium,Clear,7,11,75.5,1,0,0,0,Long,Experienced
DLV264,17.0,17,Bike,Low,Clear,6,18,68.0,0,0,1,0,Medium,Experienced
DLV265,26.0,1,Truck,Medium,Rainy,7,16,94.5,1,1,1,0,Long,Experienced
DLV266,20.0,15,Truck,High,Stormy,5,18,129.5,1,1,1,0,Medium,Intermediate
DLV267,12.0,2,Truck,High,Clear,1,18,78.5,1,0,1,0,Medium,Beginner
DLV268,30.0,14,Truck,Medium,Stormy,1,20,126.5,1,1,0,0,Long,Beginner
DLV269,7.0,8,Bike,High,Stormy,7,18,92.5,1,1,1,0,Medium,Experienced
DLV270,2.0,8,Truck,Medium,Stormy,10,16,60.0,0,0,1,0,Short,Experienced
DLV271,3.0,19,Bike,High,Rainy,0,13,70.0,0,0,0,0,Short,Beginner
DLV272,17.0,7,Truck,Low,Foggy,5,13,68.5,0,0,0,0,Medium,Intermediate
DLV273,5.0,19,Truck,Low,Foggy,5,15,47.5,0,0,0,0,Short,Intermediate
DLV274,17.0,6,Truck,Medium,Clear,10,21,54.0,0,0,0,0,Medium,Experienced
DLV275,24.0,6,Bike,Medium,Stormy,3,16,118.5,1,1,1,0,Long,Intermediate
DLV276,17.0,3,Bike,Medium,Rainy,10,18,70.0,0,0,1,0,Medium,Experienced
DLV277,27.0,7,Van,High,Stormy,10,14,106.0,1,1,0,0,Long,Experienced
DLV278,17.0,19,Truck,Medium,Stormy,9,21,91.5,1,1,0,0,Medium,Experienced
DLV279,2.0,8,Van,Low,Rainy,2,12,37.0,0,0,0,0,Short,Intermediate
DLV280,2.0,10,Van,High,Foggy,10,17,67.0,0,0,1,0,Short,Experienced
DLV281,28.0,20,Bike,Medium,Stormy,2,20,127.0,1,1,0,0,Long,Intermediate
DLV282,22.0,15,Bike,High,Stormy,0,19,121.0,1,1,0,0,Long,Beginner
DLV283,23.0,15,Van,High,Foggy,2,16,124.0,1,1,1,0,Long,Intermediate
DLV284,5.0,1,Truck,Medium,Rainy,3,15,40.5,0,0,0,0,Short,Intermediate
DLV285,1.0,20,Bike,High,Clear,10,16,59.0,0,0,1,0,Short,Experienced
DLV286,1.0,7,Truck,Low,Foggy,10,11,28.0,0,0,0,0,Short,Experienced
DLV287,19.0,4,Truck,Low,Clear,4,7,67.0,0,0,1,0,Medium,Intermediate
DLV288,30.0,6,Van,High,Clear,2,16,123.0,1,1,1,0,Long,Intermediate
DLV289,2.0,1,Van,Medium,Foggy,5,11,37.5,0,0,0,0,Short,Intermediate
DLV290,21.0,5,Van,High,Stormy,10,19,92.0,1,1,0,0,Long,Experienced
DLV291,12.0,1,Van,Low,Clear,4,11,36.0,0,0,0,0,Medium,Intermediate
DLV292,26.0,4,Bike,High,Clear,2,22,89.0,1,0,0,0,Long,Intermediate
